,review_comments,star_rating
53,"Awesome Game!! Really I like this game. I dont even have words to describe it. Totally Fantastic... Whatever you say, this is totally cool. But I have a request...please add a column of legendary bikes. Like there is Common, Rares, Epics, and Specials , there should be a column of legendary. Waiting eagerly for the next update. Thanks a lot of making this fabulous game. And I would also like to appreciate the colours and graphics of this game. Thanks to the team for making this game. I advice this game to those who are looking for cool new games. Please install it and have FUN!!!! Dont just look at the pics, install and you'll be amazed.  "")",5
55,"I love shooting pool and I have played many video pool games but this one is about the closest it comes to playing the real game.  The only thing that makes it a bit harder is the setup,  aiming and shooting.  It would be great if you could move around the table and look and your shots at different angles, and be able to extend the sight line so that you can figure you best shot better. It would be nice to be able to choose different games,  like 9 ball,  straight pool,  rotation,  etc.. That's the only reason I only gave 4 stars.  IF/when there is an upgrade with these types of improvements,  I will be very happy to give 5 stars.  I recommend this game to anybody who likes shooting pool. =)  "")",4
60,"This game of simple design is very challenging! I can't put it down! The controls are simple (single tap to change lanes), but the speed is intense! My only complaint is the automatic color change of the track. During your sphere's trek down the track, the track changes color in a ROYGBIV pattern. It's a cool effect, but the darker colors make it incredibly difficult to see.  "")",5
61,"I love this game! There's always a new challenge to participate in, along with the main gameplay. It gets progressively harder as you move up the story, no slacking here! My only complaint is that within the last few hours, a glitch had occurred where it won't let me open the game? I click the icon, and it goes to the loading screen, but nothing else happens. If y'all could please fix that so I can continue playing, I'd really associated it! Oh, I would try uninstalling and reinstalling, but I'm not logged in to Facebook and I'm afraid I'd lose my progress  "")",4
63,"Very good & educated game for whole family.. But recently facing problem where it will no function and turn off the game automatically.. When i turn off wifi or data, which means no internet connection, then problem not appear.. And later on play with internet connection, then problem comes again.. May i know is there any setting need?  ')",5
64,"The game seems real...The cases, mystery, and everything especially the forensic tests and the lab tests add up to the fun of the game... M quite like addicted to it... Suggesting all you to download and give it a try. I am sure everyone will love it. But I wish the amount of energy which gets used at a time need to be reduced, so that we can play a little more at a time (provided offline)Ã°Å¸ËÅ Ã°Å¸ËÅ   ')",4
66,"Fun Addictive game to pass time by. I enjoy the levels to complete that offer hours of unlimited lives!! Install Now More stars should be given after the Hard and super Hard levels but other than that, I haven't had to spend any (real) cash to keep my streak going. I'm on level 160 and waiting for lives to replenish. I love the first impression it has been two weeks I've been playing and I'm sure many more will come I highly recommend the game and hope you enjoy it as much as I do!!  "")",4
67,The last time I played this was on my Ipad last year lol. Seeing molt and nickatnyte play soo much has changed. I rated this game a 5 because it is so fun and addictive collecting free chest every 4 hour trying to get a legendary. The graphics is good and the gameplay is simple I wish that you can get gems every couple of rounds. Add a new card called fast potion to where it make your troop go faster elixir probably 4-5. Anyways I love this game so freakin fun. ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½(^o^)  '),5
69,"It\'s great to pass the time. I especially like the fact that it will get ""tired"" and force you to stop,  which I\'m sure my job appreciates ÄÅ¸ËÅ   And there are ads but it\'s not overwhelming at all! Have downloaded games WAAAY worse on ads. This one is good.  ')",4
70,"I love this game but there are a few things I think you could add to make it even better! The majority of these ideas are features that were in fifa 15 Ultimate team (mobile). First could you please allow us to have subs/reserves to sub on in games. Another addition is replays, like on fifa 15 could you make it so we have the option to save up to 15 replays of our best goals. My last suggestion/complaint is could you please update icons, the current three have been out for nearly a month (19/01/18). Great game anyway.  ')",5
72,"It's a great poker app with one exception; players if you're logged in through Facebook, I highly suggest you don't forget your Facebook password. Otherwise, you will loose your entire WSOP status that you've worked hard to establish whenever WSOP askes you to log in with Facebook or guest.  "")",4
73,2014:Very fun game and gives you back your credits if you ever lose internet connection while playing! Update1/17/2018: The game has been freezing up. I can only get two rounds in before it basically stops working for me.  '),4
75,Great how do u see Ur friends  '),5
77,"With the current patch most of the time when I tap my screen while within the game it doesn't register my taps.   I started playing this on my PC through Steam.  Then I found out there was an app!  After I got the app...my life has been consumed by becoming a capitalist master!  This so is simple yet oh so addicting!  I recommend this to everyone.  If you are reading this STOP reading and go play this game now!  "")",5
80,"This is a very enjoyable game. I've read complaints about having to spend gems, but the game gives gems to you. There are opportunities tho get gems all the time! If you play well, you don't use them. I almost have 60. The game also gives you opportunities to play continuously for a few hours, if you're good at it. But if you need too play this game for hours on end, you need a new hobby. I love this game. It's free, outs characters are adorable. It's challenging, too ÄÅ¸Ëâ¬ I DEFINITELY recommend it  "")",5
82,"I have now completed a 365 day streak... During this past year of playing this game daily, I've had an idea. What if once you hit a certain amount of streak days you unlock a new something? Like a new pack or flow color? That would be nice so that you are working towards something. :)  "")",5
84,"I love the game, been playing for a while now. Only thing I wish was changed, is being able to move troops in the quick train. I forget to move things round, and end up having to delete troops to train again because it trains less regularly used troops before the ones I use more. Love the game and the new update regardless!  I am adding to my previous explanation, but I feel it necessary! I want to add to the game a faction component. Choose a side, and fight for it. Also, wish you wouldn't get notifications for wars you are not in. Especially every time you leave the app.  "")",5
86,"You need to filter Arena battles and Tournament battles so that everyone participating in one particular event are around the same level. It just takes the fun and the competitiveness away when you can't win anything purely because everyone else playing are much higher levels. It isn't fair and it isn't fun.  "")",4
88,"Nostalgic...   I almost forgot how bad it feels to have who you thought to be your best pal completely shut you down to the point where you literally have no moves left. My panicked, writhing body screaming ""NO JOHNSON PLEASEEEEEE I HAVE A WIFEEEEE!! Don\'t send me to the shadow realm!!!""  ')",5
89,"The game can be very demanding, if u are free users bcause it need u constantly buy better gears for mission pts.. Or u can farming to get better gears.which mean fancy gears=high pts.. Pvp can be missmatch.. dont bother urself to play with strangers cause u will be lost no matter how (or am i a noob?) Overall great game (its free) if u enjoy it slow and steady.. no need to rush ur lvl and open another maps..  ')",4
90,"As I sat down on a bench with my drink I realised something. My bepsi didn\'t taste like bepsi. It was...CONK!? I succ on my thumb just thinking about this memory. I was ANGERY. I wanted to go back in time and tell myself ""boi. That\'s CONK! Not bepsi!"" And then succ all of the conk bottles up so nobody has to deal with it.  ')",5
91,"I've been playing this for a little over 2 months now and I absolutely love it. I have tried several other word games and it either just gets too hard or you are running out of points for hints. With this that doesn't happen. It keeps a good balance between hard and not so hard. And hints are always available.  "")",5
93,"Being a fan of the original ""angry birds"" games, and it\'s various spinoffs, this 2nd game is an absolute blast. Aside from all the great piggy popping goodness, there are extra goodies and mini games to keep all ages and level of game entertained for hours! Whether it\'s collecting hats, improving your birds stats, opening and freeing more and exciting birds (and their various hats) or just blasting through  each level to regain your stolen eggs this is a winner! One of the best downloads ive mqde tbis year!  ')",5
94,"Crissy road is a little bit of a crazy game but I'm in love with this game.ÄÅ¸Ëï¿½ÄÅ¸Ëâ¹ÄÅ¸Ëâ¡Ã¢ÅÂ¨  "")",5
96,"Fantastic game. Very fun and easy to play. Only thing is that you can beat it pretty quickly. Couple recommendations though (other then adding more content), the assistants are very useful but super expensive, you beat the game well before you are even close affording decent upgrades for them. Also, all the ships look great until the final upgrade, it looks really out of place. Maybe make it more like a double decker war ship? Still an amazing game though, great work to the Devs.  ')",5
97,"You can unlock lots of different characters. There are barely any ads. If your device isn't slow it doesn't lag at all. The graphics and the colours are really pretty. The music on this game is beautiful. The gameplay consists of you trying to click the screen at the right time so you can fit moving shapes into the holes. It's a little hard but you have a health bar that can go up of you get multiple shapes right in a row. It's really relaxing I love it. Theres even a dog character. ÄÅ¸ËÅ ÄÅ¸ÅÅ¸ÄÅ¸ÅÅ¸ÄÅ¸ÅÅ¸ÄÅ¸ÅÅ¸ÄÅ¸ÅÅ¸  "")",5
98,OMG look at this game loved it best game ever my favorite car is the big finger because of how big and strong it is my second favorite is the rally truck for how fast  it is and it can go really far on the moon with its low gravity and all the details. I only have 1 complaint it is how horrible the guy looks put more details on it.  '),5
100,"Classic UNO with a couple of modern twists and turns. I have never spent any real money in a game and I don't ever plan to, but here you also don't really need to. I've won many tournaments and got really far in the game without buying anything. You get extra coins by winning and completing daily tasks, as well as watching ads. But you're not forced to watch them. It's not just about luck. You have to play smart to win, just like any other card game. I love it.  "")",5
102,For me i could only give it to 4 stars.. Honestly its hard to earn gems.. Casino does not help either for i have not even won a single gem in there it is kind of frustrating actually... But cant help playing it for every store was amazing to play with.  '),4
107,"I love the pixel games and farming simulation games so I had to try this out. I really enjoy playing this, however, it is difficult to understand what the upgraded animals mean, or like what they do since there is no diagloue or helpful things to read in the game. I really hope the developer incorporates this as it will allow us to understand what everything trulu means in the game than just going by pictures with a lack of context. I also believe the products the animals produce should cost more as it is difficult to make money right away in the game without spending a lot of time feeding the animals constantly and waiting for customers to buy it. Other than this, the game is super cute, the animals are adorable, great graphics and has a lot of potential!  ')",4
109,"I loved this game. The best thing about it you don't need money to play its not pay to win.  Great graphics wonderful events.  I recommend to make an option to traid heros ore something so traid heros ore send pliz if you add this option it will be the greatest game ( I RECOMMEND FOR ALL PEAPOLE TO INSTALL THIS GAME YOU WONT REGRET IT)  thank you for this wonderful game and keep up a good work it deserve more than 5 stars ÄÅ¸Ëâ¬and pliz try to add the trading heros ore maybe guild members can send heros to others pliz plizzz thanks  "")",5
110,"It's a great game. But only problem is there ain't much in packs that you can get. like big speed ups they cost an a lot. The cheap packs ain't got much that you need. Sort that out and I will get all my friends playing this game.  "")",5
112,"This is a good little game. You basically say what you see. I enjoy the levels where you have to spell the answers differently to make a word. To be honest, I'm not sure why some of the reviews suggest it is too difficult. Some levels are challenging, yes -  but not too hard to guess. I would only request that it is expanded to include some English terminology as well as American. Oh the Ads also aren't too excessive. There are many but you can click out of them right away instead of being timed. Please keep it this simple.  "")",5
114,"This game is absolutly brilliant. Not only has it got be out and about I'm spending time with my daughter playing it. The raids really bring people together and everyone I've met a really nice. Need gen three now tho so will have to switch off for a few months because it gets boring inbetween releases.  "")",5
115,"This is truly an amazing game!! I never write review's. Things to add in my opinion. #1 EBRAKE! #2 snow biome map. #3 some kind of a torque management for fullyupgraded rigs, Other than that! Absolutely amazing. Ive recommended it to 4 of my buddies! Always a good laugh watchin ya boy roll down a cliff on a trial and have to start over xD  "")",5
116,"The graphics are amazing but the gameplay...Not so much. Sometimes I'll tap but the line doesn't move and runs into the wall. On the snow level, it won't let me get back to my checkpoint. On locked levels, the free trial button won't work. Some paths just aren't clear. I'd gladly play this when those things are fixed. Sorry but I'm uninstalling for now.  "")",4
118,"I really like how you don't need to buy per your to beat the levels, the recharge for lives is sorry so you can play multiple times a day! I like how you can visit random people and if they have a decoration that you don't that you like you can but it for like 50 coins which is nothing. The levels are fun and challenging I would definitely recommend this game-it even had a bit if plot!  "")",5
119,"So what i really liked about this game is that it is challenging but some of them were easy and that made it better because you wouldn't be stuck on one for to long and it was fun at the same time! Who ever created this game is a genius! If i were you I would download this game and play it right now!  "")",5
120,"I enjoyed this game a lot and am excited to see more things get added in the next update. I found it to be a great way to pass the time. I've seen many 1 star reviews for this game and most of them were because they couldn't figure out the controls or thought there were too many ads. I personally think the controls are pretty simple to figure out and also the ads in this aren't THAT bad. At least nowhere near as bad as some of the other games I've played.  "")",4
122,"Super fun. I'm not a tablet video game player, UNLESS it involves dinos,dragons,or any other type of animal,really. But as most people say it's a really great time killer. I don't know about you guys, but on my tablet Jetpack Joyride doesn't need WiFi. I recommend getting this game when your getting ready to go on a long trip. Of course you can get it any other time as well.GET IT NOW.PUSH THE INSTALL BUTTON.YOU WON'T REGRET IT.I AM SERIOUS. DO IT NOW!!!Ã¢ËÂºÃ¢ËÂºÃ¢ËÂºÃ¢ËÂºÃ¢ËÂºÄÅ¸ËÅ ÄÅ¸ËÅ ÄÅ¸ËÅ ÄÅ¸ËÅ ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½ÄÅ¸Ëï¿½ÄÅ¸Ëâ¢  "")",5
125,"Nothing to buy in game,  but it's sole purpose is to generate ads, which it does almost constantly, many of which are full-screen and can't be avoided. If all the ads don't drive you nuts, the game is fun enough.  "")",4
128,"It makes me frustrated but it's really addictive also very fun I love it though. The graphics uhh... well it's okay kinda... well moving on. I would rate a 5 only because the game is AWESOME!!! I love it!!!!!  But the controls... I hate them just being honest because... well you know person reading this well there's my story about the game.  "")",5
129,Its nice how you guys made it  '),5
130,"I like this game a lot.  I beat it once and have gotten to 90%-80% around 4 times. It's really competitive and definitely requires focus. However after becoming so good at the game to where I could get to 40-50% in a single run I realized that I was not going against real people, I was against AI that discovery alone completely shattered my experience as I was under the impression I was against actual people. Now there are some real people here and there and you can tell by their name but most of it is AI  "")",4
131,"Very much a top game, graphics are in your face with colours and speed. It\'s a"" please don\'t stop playing me mi kind of game"" Thank you. ÄÅ¸ËÂ± Wicked game. Top buzz. For some unknown reason, the creatures aren\'t rolling. Still good. One of the most enjoyable games you can play with 1 finger. Thanks again. Not working is the bonuses you get playing everyday. Brilliant wicked. Excellent. Top one digit game. ÄÅ¸ââ  Great. Can\'t stop playing the game. Bravo. Thanks again. Wicked. Great. Funtastic  ')",5
132,"I'm 11  years old I love this game because we can do her makeup dressup we have to care her I love her because she is joyful and I'm in level 39  she grown-up younger from before I love Angela and you also download my talking Angela I think  you also love it. yeah it's gave soo much and when i clicked on the ÄÅ¸ï¿½ï¿½ it show's me ads after the ad  i didn't get gift. It's happened with me10 time.and some times it hangs when I'm doing angela's makeup or when i'm playing. And in this game there was no more mini games maybe 6 or 7 games please add more mini games. So that's why i gave 4 star's. But this game is not worse this game is good for kids and also for girls i like this game but please add more mini games I'm so disappoint.  "")",5
133,"I'm 11 and i love it so much.I have some Ideas for a toca kitchen 3. You can be able to make sandwiches and soups or stews. And more ingredients, more people. And you could add mustard and mayonnaise. Wait Maybe you could make tacos and weird ones. These are just  suggestions but I would love to see some of these suggestions. You would call it Toca Kitchen 3, with a nice logo. I did like toca kitchen 1 & 2. It is fun to play and food, and when we mess up to see how the people eating the food react. Bye.  "")",5
134,"Great game with smooth controls and polished can play and graphics.  Has an option to dial graphics up or down for your device.  I especially love how this game is largely skill based.  There are a few things that you have to grind for either in time or frequency of play but for the most part everything in this game can be earned/bought more quickly of your great at runners.  There's only 3 or so things that have to be bought with iap's.  Definitely one of the best runners I've played.  "")",5
135,I would love it to be possible to buy gems with gold like 50-100 million gold for the highest gem pack and about 5-10 million for the 25 gem pack. It would be nice for the people like myself that struggle to afford the smallest gem packs let alone the massive ones. It would make it more fair for all players then.  '),5
138,Make a fly butten  '),4
142,This is the best game ever!!!! You know the saying video games are bad for you?? Wrong this  game is the best it helps in life and a way to kill boredom  Edit: please could you make more of the chopping level things because at the moment there are only 3 I would really like more  '),5
143,"This game is good. Nice car, nice graphics and one of the best drag racing on android right now. I can't decide whether to pick csr racing or this game at first and since i played csr racing 2 i ended up with this game. Well, as this game doesn't have any official licensed cars i recommend that we can change the hood, spoiler, side skirts etc.  "")",4
144,"Love this game. The only problem is that I can not get my rewards from collection because new figures on the right blocking all view. And machines giving you same cards over and over, including VIP one, so you can not finish ANY collection. Can not finish any collection for A YEAR  , playing almost every day.  ')",4
145,"A bit too many ads but what do you expected when the game is free. All in all it's challenging and fun. Needs more categories like country, love songs, older school, alternative, etc. Not quite sure if they alternate yet. More tickets would also help so you can have a better chance of climbing the leaderboards. Earning them only by leveling up is going to get harder to obtain due to the advancing exp. Still fun! :)  "")",4
146,"This is very very addictive. Started it about 3-4 hrs ago and on level 54 already. Cant put it down. Its soo much fun. Download it, you wont be having as much fun anywhere else!  ')",5
147,"Use to like angry birds. But you have changed it . Do not like it when you got to have stars to unlock each level. I played the game over and over . But when I run out of stars I have to delete the app. All I want is to play the game without unlocking each level. So I now have got to delete the game one more time, I will not load it on my tablet again. You can keep your games. Very upset customer.  ')",5
149,"It's so good!!!! Can't download minecraft?  Download this. There's only a little bit problem.... The portal, and snowman...  I can't make the portal work. I can't make an alive snowman that only use 2 blocks of snow and a jack'o'lantern head. Plssss...  Fix this. And when I already made a neighborhood, it became laggy. Can you fix it too?  Plss...  And after you made a move, it will be almost  perfect now...  "")",4
152,"I really liked the action scene where the ICE police arrested the mommy and took her children into social services. I do believe giving an emergency C-section for an illegal is a bit much for a story line, but whatever. Totally makes sense. I love how we're able to take care of the premies and foster them until they're adopted! 6/10 - Would play again if bored.  "")",5
153,"This is the only chess game I have come across that lets you build strategy. If you know chess, the first two should be a walk in the park. As the levels go on, you start using insight more and more. I love this game, not only for chess, but that you build your skill in a ""fun"" way.  ')",5
155,"Its a great game, very nice cars and i like the chapter mode but the overall handling of cars needs adjusting. Also, as completed races dont give you much money when you redo them, i think they shouldnt cost any tires. Lastly, i think adding customisation options like bumpers and exhaust pipes should be included  ')",4
156,"Quite addictive. I play it every day on my train journey home and I'm nearly on my 200th level! Pop up ads are rare and the gameplay can be a bit repetitive but the different levels keep you going. It gets the brain thinking!!  "")",4
158,"Pretty great idea overall, and gameplay wise is pretty good. But when it comes to performance and optimization, its pretty horrible. You need settings that are alot more than just high and low res. As those to are major differences. Get on fixing things like this and the games easily a 5 star!  ')",4
159,"Very fun and it helped me learn how to play poker. Even got me playing live poker at the casino's here in lake Charles. Haven't played in any tournaments yet but I'm still practicing. The game lay out is nice very smooth playing. I'd give it 5 stars if there would be some more options to play like omha or black jack. But then again the game is called zynga poker not casino. Love it.  "")",4
160,"It's really cool and nice but I prefer the older version, where you don't have to like.... Um... Complete challenges to get fruit and shii* but you just race. And also It'll be really cool if in the residential area, the people driving aren't just minions. Make them some animated characters, who make priceless and funny reactions when you jump over their car or move to another lane. Super cool game tho.  "")",5
