,review_comments,star_rating
78,"Overall pretty good. An undo button would be nice though for times like when your screen thinks your pressing the block next to the one you mean to press. Also being able to skip the little cutscene animations between levels by pressing the screen. Also, the paintbrush info has a typo (""change it\'s color"" should be ""change its color"").  ')",3
79,"It was good but then this happened. I was playing just like any other day. My phone had died while I was playing, so I charged it and left it untouched for about an hour or two. When I signed in, all off my progress was erased! Please respond and tell me what happened.  ')",3
81,"BUG for some reason mine only shows one game play type, only the watermelon and only lets me play arcade mode. no changing blades or backgrounds and no peachy, strawberries and whatever that third one is. somethings up and I used to love this game  ')",3
83,"Game is fun but there are just way to many ads. Like you open it up and you can chose to watch and ad to double your idle amount or not and you still get to watch an ad. You open one of the tabs in the game and you get to watch one. Then there are 3 different booster and you have to watch an ad to activate those and one only last 60 second. Then the game will glitch and sometimes you won't have and idle points. The game is fun and I like it but maybe ease up on the ads it's just too much.  "")",3
85,"Only play if you want to spend thousands of dollars. The tower boss challenges are a joke as well. They roll 3 and 4 yahtzees a game scoring 400 points every time why your lucky to get one Yahtzee and score 200. Only fun games are against friends where you pretty much win nothing. Also good luck winning any of the NFL items without speanding tons of money. It's over $4.00 worth of dice to play one challenge to try and win a coin.  "")",1
87,"Popup notice to drag something somewhere to get a hint obstructs entire bottom row of keyboard and can't be dismissed or disabled. Really poor design. Also, just got an ad that was 30+ seconds long and could not be closed, so I quit the game to escape from it.  "")",3
92,"Hey RobTop, the game is ok, but there is one issue. im used to playing geometry dash with my samsung chromebook 3 (it doesn't have touchscreen) and when i press the spacebar on my computer (this is the same issue on geometry dash lite and subzero) it doesn't let me jump. And can you let geometry dash world players create and play user created levels. Fix and add this and I will give you 5 stars. Gameplay and graphics are nice.  "")",3
95,"The game is quite buggy bcoz whenever I play the first race after finishing the race the game crashes I thought its my phone's problem bt it occurs frequently that's why I m uninstalling the game. Resolve it quickly...  "")",3
99,"Wow....just ... Wow, is it a requirement of mobile games now to just ruin them?? These games used to be fun hilarious and simple, and now ... Well this, unoriginal, laggy, boring aaaaand you guessed it FULL OF IN YOUR FACE ADDS! HOORAAAAAY! genuinely sad.  ')",1
101,"I would have most definitely gave a higher rating,  if not for the type of adds that pop up every few seconds. I understand its a free game, and I can handle the adds. But every few seconds there is inappropriate adds popping up. They use really bad words. I could even handle a few cuss words but these are bad. I've never saw a game that has adds like this. My 7 year old daughter & I play together. Definitely not appropriate for kids to be playing &hearing. When the inappropriate  adds stop I'll change my rating . And really this is a game a lot of kids would like to play. So what's with those types of adds any way? I do not wanna hear them, or have my 7 year old hear them every few seconds.  "")",2
103,"I\'ve played and loved Hill Climb Racing, so was happy to find Fingersoft created a new version. The graphics are nicer, and there\'s a new Race mode. But this version is missing my favorite level, the moon level. They are also missing the kiddie train.  Getting new vehicle is different this time, you have to play and win a whole bunch in the new ""race"" mode. In the old game, you could just buy the car you wanted when you had the money available. It also feels like the money you get playing is much less valuable.  The graphics are nicer, but I\'d skip the upgrade and keep playing Hill Climb Racing.  ')",3
104,"I really love this game but how many time do I have to reinstall it back. It's always said to check my internet connection when my internet is perfectly fine. Please fix this because i love this kind of adventure game..please.. Update- okay i'm starting to dislike this game. It does not save my last play..i REALLY HATE it,coz I have to play the same thing all over again everytime I play. Is the Auto save work properly? PLEASE FIX IT.. PLEASE!!!!!!!  "")",2
105,"It's an awesome game but sometimes when I start it I'll go into the first circle and it just won't register that I did anything and I'll die.  Also, sometimes when I go into the first circle it'll glitch and fly off somewhere. It's really annoying plz fix and I'll give A better rating.  "")",3
106,"Really fun.  But crashes constantly on my Galaxy S5.  Then I have to force stop the app, and restart my phone to get it working, for about 5 minutes....  All have to do to avoid ads is not restart until the respawn timer clears, so they aren't that bad, and it's really cheap to turn the ads off.  I would happily do so, it the app would run for more than 5 minutes.  If it wasn't for the crashing, I would rate it 4 stars at least.  "")",1
108,I thinl its to long to get out of the tutorial  '),2
111,"Can't hit 1%   In multi if sometimes says game loading on opponents device. Freezes & have to go home. Probably lose the 400 Y should I get punished 4 his device Uninstalling  "")",2
113,"Inutile d'y jouer en franÃ§ais, la plupart des mots du dico ne sont pas reconnus  "")",1
117,"Looked like it was going to be a goof game. Boy was my looks wrong the controls were very non responsive, the sounds were just repeated and in the same order and I only played 2 levels before I knew it was time to stop wasting my time. Sorry but don't waster your time  "")",2
121,"The game is clearly Pay2Win. You have to spend few weeks to get to the same strength as anyone else with some spare cash. The raid (PvP) matching system is a freaking joke. Keep getting matched with people much stronger than me and skill plays only a small percentage in winning. This game absolutely does not deserve a 4.8 rating. There are MUCH better games out there. Don't waste your time on this.  "")",1
123,"Like the game BUT WAY TO MAMY ADS. No game needs this many ads, I can't do anything without an ad popping up. It is really getting on my last nerves, ecut down the amount I don't mind a few but not that many.  "")",2
124,"STUPIDEST GAME EVR DO NOT DOWNLOAD 4EVR I AM QUITTING RHIS GAME 4EVR!! #HATEIT  Reply to Alura Sify  Its so horrible can eny one have watched 100 ads in a day well this game so many ads its unreal  Reply to Judy Silva  You might have just bought the remove ads thing so there's no ads for you  "")",1
126,"UPDATE 1/19/18----- I installed a couple of new updates and now I cannot go to the monthly puzzles to complete. It's nice that kid puzzles were added but I'm too old to be doing kid puzzles. APP Team needs to fix bugs or I will uninstall the app.  "")",2
127,"I am on a chromebook and the screen would just, not load there would be just static, if you have ever watched that movie where the house was built over a cemetary then the TV whent all static when they came, it was like that for 85% of the screen. This game was fully updated also, dont kno if this happens to everyone but overall this game has potentiol and i did not even get past customizing my character. I could not even click the button  had to use touch screen and tap several yimes very hard  ')",1
136,"It's a really fun game and organized very well with great features and a knowledgeable A.I.--extremely fun... that is... if you can actually play it. Ads pop up before you start a game, after, during, and one constantly runs on bottom draining battery and CPU. Ads are also required to play, which means no internet = no play (even for solo games). Unfortunately, there is no other single-player alternative on the Play Store.  "")",2
137,"Took forever to download,  and would get to 99% and start all over.  It did that 2 times. Then finally it downloaded and now it wont go past the main screen with a loading symbol. Should have given 1 star, but I love Ellen,  so Ill give her 2 in hopes she has all this fixed quickly.  ')",2
139,"I wish I could post pictures, but the game is too easy. I beat the first 2 levels both on one attempt. Though I am an experienced geometry dash player. But if I can beat a level first try, not knowing the course at all, that's some easy stuff. I highly recommend geometry dash sub zero though.  "")",3
140,"This game used to be amazing until the update. I loved it because it wasn't as hard to accumulate coins/upgrades as other games which allowed for more actual gameplay time. Now they've stopped allowing you to get coins from lost levels which was the best appeal of this app compared to others. And of course the levels are starting to become impossible so I'm not making any coins. What a bummer!  "")",1
141,"The ad, photos and even name of this game state that the trivia is based on pictures but the pictures are hidden unless you have tons of coins to reveal the picture essentially turning this into a word scramble game unless you spend money. Dissapointed me enough to lose two stars. That being said the variety of categories and relevant answers is fun. You can opt for free hints by watching ads  ')",3
148,"Cant say its an original idea, way too many people have already done games like this and theirs are better. The physics are pretty bad but the bulk of it is in the horrendous drawing and placing. Half the time my precise drawings end up popping up.  ')",2
150,"Hello I've been playing this game for months, so much so that I began to pay to play it. In October of 2017 I had a late payment that resulted in me loosing my VIP status. However; My bank account reflected withdrawals of 9.99 for game plays from October 2017 until January 2018. Google was able to give my money back for January but I have to now contact the Administration of this game in order to be reimbursed for previous months. I love playing this game but I will no longer pay to play anymore.  I will keep you all posted on my outcome.  "")",3
151,"Its a good game you should get it, but the peole are looking for a game without Wi-Fi, and that don't take, about um 100 hours just to bake burgers or 74 lps for a cat or dog its redicilus. Please change that and make it avalible to spped things up like the real sims and other obect and make up when you edit the sims. What I am trying to day is make it more like human life and the sim, 3 ,4 ,5.Please please.  "")",3
154,In game links trap button pushing youth.  Game is fun but not recommended for under the age of 5 if this is a problem experienced by other individuals.  '),2
157,"Ads are a necessary evil that I can tolerate 99% of the time. But when there are more ads than app content you've crossed into a degree of ridiculous that just can't be explained.  I'd love to give a lower rating but Google won't let me.  "")",1
162,"Was a really good game, but the latest updates have ruined it!! Totally unplayable due to the constant freezing of the cards! Don't waste your time on this app  "")",1
164,This game is the wrost because it pop up 2 aids in the beginning and when I join a game it just really kick me out the whole entire thing wow!  '),1
167,"First, the controls suck. The game can\'t even detect if it is a roatate or a tap. Blocks automatically and randomly fall when you don\'t want it to, but that may just be my fat fingers. There are smoother controls, but it dosen\'t tell you how to get them. No control box tap thing, it would be useful to have one. For example: To rotate tap on the tetronomino. Simple. And even ads, ads, everywhere! I know about ad revenue and your ""ad money"" flowing in, but don\'t be a greedy money hog and show them every or so 2 minutes. Show them each hour and 10 minutes. Sometimes the app dosen\'t respond to taps, swipes, you know. Black screens too! But when you get to the actual gameplay, its all fine.  ')",2
168,"Updated review. Dont waste your time or money. They took 298 million chips from me after playing for 9 months and spending real money on this game. They will not respond to emails either. I wouldnt recomend to anyone after this. Original review: Lots of glitches recently as well as unpaid funds when leaving a bonus round. Liked it much more before the last ""update"".  ')",1
173,"eally needs work I play it and on the second level it keeps crashing on me after you guys fix the problem I will put it up to three to four stars or 5 but until then it's a one-star I am kind of disappointed in the fact that your app does not work  "")",1
175,"Please consider giving more Dragon Gems in the game.  You could also add the ability to get free Dragon Gems by watching videos or installing other apps.  Some people don't have enough cash to buy in game items with real money.  It would be nice to be able to stop the dragons from harvesting things.  Like zones where they don't harvest anything in that zone, or a different zone where they only harvest what's inside it.  My camp is full, and the second I merge or use something, they immediately fill the empty void with more things that I don't want them to harvest.  Thank you in advance.  "")",3
176,"Edited. This game is great at first then it stop giving you anything good when you spin. It's way too expensive for buying spins and it seems like everyone is able to attack you but you don't get to attack then.  Hate this game now.  "")",2
177,"I love this game. And I am not writing this review because I have lost my patience with it.  Getting through the levels is actually very enjoyable. Until you get to Scorching Grounds &gt; Abode of Argonius.  This game is good. I guess I am easily put off when possibly the best way to enjoy the game and progress fast is to spend real money. I don't like it. But I get it. Good job developers. You got a good game here.  "")",1
179,"Hello I'm Sofyan For the author, and the team. Can you make an this mobile legend more comfort on small RAM phone like me. I'm using Samsung Galaxy Grand Prime sometimes it's bug and restart the game by them self back to the first scene Mobogenic and loading the game again. That's make sad because that happend when in the loading screen or when i on my playing. Can you make more smooth and not heavy for a phone like my phone. I love to play this game, so i hope you can fix it and make me and the other players more comfort to play the game. Thank you!  "")",3
181,Their is an add after every puzzle i understand you need to put adds in to make money ; that you can buy to not have them.What if you was a kid and you wasnt allowed or you didnt want to  waste your money to after a while uninstall it.After a while it would get annoying i only played two games and im not hating but i personally dont like it and remember this is my personal oppion.  '),2
182,"I really like this game, although i wish they would make getting c4 and raiding harder. Also after this update i ended up with someone called lootme account. Kind of sux having spent months building up everything. I thougth the entire idea of being connected through google apps was to ensure that stuff like this could not happen. This may lead to me quitting the game if i cant get my savefile restored.  ')",3
184,"I play game to waste my time but this one is too much... Where is the fun? You'll get sure win with max bet until you reach level 10-12. Then it will get harder to win from slots even if you play on low bet where I lost 70 millions coins without winning a single time after those rigged wins. I still don't get why I should spent money to buy coins on this game because its only use is for slots. But I still playing this maybe I'll find something valuable to keep playing or it will be just like the others.  "")",3
188,"I\'ve legit only played through my first song so Ratings may change.  I just couldn\'t let such a nice looking game with potential get away with blatant punctuation errors.  ""Lets"" has an apostrophe.  ""Youre"" has an apostrophe. I\'ll let you figure where they go.  But seriously,  the first and second time ""Slash"" wannabee said anything had those in it.  You\'ll gain more credibility if your. grammar and punctuation match your killer graphics.  Now...let me get back to my game.  ')",3
189,The trace should b continuous. Stoping and joining the Trace is not good. It should with flow. Will uninstall if not updated.  '),3
193,Its a great game but its extremely laggy even with the settings fixed to reduce lag. Over heats phone badly.. This sucks bc i was enjoying the game but i cant play this game if its going to burn my phone up like this  '),2
194,"It has a progression system, but it's completely worthless. The only reason to try to win belts is to get weapons that serve no purpose. You can win most of them by paying 200 coins and getting a random one, but you can, for some odd reason, get duplicates. Not to mention the fact that coin combos actually do nothing, not even useless cosmetic items, nothing. I think adding function to the weapons (e.g. Making long swords slightly longer range or making small weapons quicker) could add more depth and more of a reason to play the game. Overall: It's a good timekiller.  "")",3
196,"The game looks awesome but I seem to be having major issues the interface is very slow and buggy and it makes it impossible to enjoy the game. I have a decent device so I should be able to run this game fine. Maybe there's an optimization bug for some android users.  "")",2
197,"ood, with a major flaw I've ran into an issue that occurs about 1 out of every 3 rounds, where I'll tap, and the game won't register the trap until well after the position I wanted. For a game based on timing and your ability to stack moving blocks, when you tap is important, and needs to be 100% reliable. I'm on a Nexus 6P, very new phone with excellent hardware. I've closed all background apps, to try and troubleshoot. It's an issue I'd like to see fixed.  "")",3
198,The car never crashes and if I purposely want to crash the car nothing happens. It is very boring. I can just say that I hated it.  '),1
201,"Overall, the game is OK . But there is a few issues. My bike tips back and I can't stop it from tipping back until I die. But this doesn't happen all the time. It happens about every five weeks. Also, I was given a 5$ gift card and a 10$ gift card but I can't buy any of the bikes.  "")",3
204,"This is literally a great game however I got my phone restored and there's no way to restore game progress. So much time wasted!  "")",2
205,"This game takes the Mick, it takes ages to build your money up and then takes it all away in 20mins I had over 88mill played the 777 all my money gone no mini jackpot. They want your real money that's all they care about. I use to enjoy it been playing big fish games for years but have finally decided I will be removing these apps. Never won a big jackpot and always lose so what's the point. If you want people to stay and play loosen up the wheels.  "")",1
207,"Is this game for You? Do you enjoy spending most of the game watching ads? Do you enjoy games that make it impossible to play without spending real money? Do you enjoy being grabbed by the crotch so hard you change genders?  If you answered yes or no to any of these then no this game is not for you. It's nothing but a crappy game designed to rake in as much money as possible, rather than making something fun. Forced to watch 30 second ads after each round. Forced to use the currency you earn when you don't want too. Enemy power will suddenly jump up 10 fold making spells and goldimpossible to gain without watching an addition 30 second ad. Even if you win and get the key you are forced to watch a 30 sec ad to unlock as if you didn't get a key.  "")",1
208,"Gotta spend a ton of cash just to keep up otherwise you get constantly crushed by wallet warriors. I wanted yo like the game. Met some fun people. But ultimately not worth the cost of admission.   I asked the developers about this. And they respond with something like ""we\'re continuously working to create a more balanced environment.""  Then they released an update for glory banners... Which you can only buy and the cheapest pack is $10.  Sure. That\'s sounds like a balanced environment.  ')",1
210,Cross state battles ruin it for me. You spend time and money to advance  only to lose it to op players with no option to opt out or even protect your assets. Unfair for players who are not online 24/7.  '),3
212,"I don't mind having to watch a video to earn a credit for tips. But to have me install a game that I'm not interested in, thus leaving me stuck makes this less appealing. Otherwise, it was good while it lasted. But I'm starting to lose interest.  "")",3
216,"Right I've been playing forge empires a while, just brought a package, then it wanted me to update, which I did, now it's started me back at the beginning, and won't let me use my username.. please address this issue.. ASAP.. thanks  "")",2
219,Really enjoyed this at first but sadly let down on later levels. They have ensured that the only way to complete levels is to purchase extra items. Really sad money grabbing tactics. Uninstalled now. Shame on you.  '),1
220,"I like it a lot but I hate how the drawings are so linked with pokemon go. I hate pokemon go!!!!! The graphics are okay but I wish they were a bit better quality. It is confusing if you pick paint or something it just goes back to the original colour. I didn't like how easy the drawings were and I don't think the glow art works. It just comes out as crayon. I wouldn't recommend this game if you don't like colouring. It's ok!!!!  "")",3
221,"Game designed to spend money otherwise you won't get any great cars. Events are for spenders or the extreme few who win the specific car to complete in them. Fun at first, then realize spending is key to compete. Graphics are awesome! Could be so much more! Not spending money on virtual cars!!! That's just not smart! Better play time at the T3 and below levels. T4 and T5 better crack open the wallet...lol!!! Good luck grinding it out!!!  "")",3
223,"this game is abosolute garbage. This is just made to make a quick dollar or too. they don't care about quality. never install this. here's a tip: you can turn off ads by turning off your WiFi or your mobile data. Don't give these men any money.  "")",1
224,"Slot of Thrones is impossible for us folks who dont have a billion dollars to play, wish you could group people with similar bank balances together to give us a fighting chance. Love the graphics, fun!!!  Definately getting harder to advance in the upper levels without buying coins tho. Keep up the great work though, obviously fun enough to keep me coming back.  ')",3
228,"Umm, no. Seriously? I played this on my brothers iPhone... So much better. Way easier, a lot more fun. He has, like, 100 or something as his high score and could only get to, like,  8 on here - iOS version WAY BETTER. If you are downloading this because you tried it on an apple device - I'm warning you - it sucks.  This is the worst review I have ever given an app. I gave it a try. A good, like, week before reviewing or uninstalling. It is just not fun. At all. Sorry ÄÅ¸â¢ï¿½ DONT DOWNLOAD  "")",2
230,"I think its cool ,more animals please make a bug transformer like a spider or beetle or mabye a rhino,ape,cheetah,rat  ')",3
231,"Used to love this game, played it all the time at work. Recently reinstalled it, and it is completely non-functional. Anytime i try to start a new game it begins saying i cant use that disease type, but it says it for every disease. What used to be a fun app has been reduced to a neat little biohazard sticker to go on my homescreen. One that i paid money to be able to play but cant.  ')",1
232,Duty  '),1
233,"Despite the graphics being awesome, the unintuitiveness of the controls really kills this game. I played this on my tablet and had a hard time adjusting to swiping up and down to use boost or drift. Maybe it would work better if I just played on my phone? Also, the races and tracks feel WAY too short to bother playing.  ')",2
234,"It's a cool concept, but it's poorly executed. Years ago, I used to play a similar game on a website called PetPet Park. It was called Stack Happy, and it was really fun! When I saw the ad for this game, I thought it would be like Stack Happy, but it's much harder. The blocks are kinda.... bouncy ish, and they act pretty unpredictably. It's hard to play because of that. I think that would be able to be overlooked, however, it it weren't for the ADS!! There's waaay too many! Therefore, I'm uninstalling. Kinda bummed. :(  "")",3
235,"It is a very stupid game. Don't download it. I have given this game 2 stars but I should give this game 1 star only.  "")",2
240,"If you play this game never buy chips, afterwards you will never win, never, if you have 4 of a kind someone will have 5 of a kind, just anything to make sure you never win. Totaly disappointing. P.S. I have to add that I am still missing some chips from a reward based on making purchase, they only appeared for a second and are than gone. Despite me contacting the so called support i never became my chips, so the game is a real fraud... So asking me to rethink my opinion and rate 5 stars is ridiculous... At least stay for your engagement towards your ""feeder"". I am disgusted!  ')",1
241,"Other then the videos constantly interrupting the game play it's a pretty good game.  The other issue is the auctions bidding always start off to high in turn the bidding process leaves very little if no profit.  I also think I should be able to take any amount of items from lockers, and store and sell in my store.  "")",3
244,"REMOVE TANKS AND ARMOURED SUVS   The game is amazing. All the guns are balanced but there is one big problem... It's the TANKS and the SUVS   or make it a banable offence because all people do is camp in the last circle with a tank or a suv. Please fix this and I will rate 5 stars. And I know this is meant to be a minecraft version of pubg but pubg never had tanks or armoured suvs so please fix it. And is it just me but some of the players feel like bots. ÄÅ¸Ëâ  "")",3
248,"Too easy.. just evolve gold per kill and the normal warrior. I'm on wave 116 and lost only  about 10 battles. Also O colonised the first island to max lvl quite easily. Played only for 4h bored af  "")",3
249,"this is the only game my two children have where it is constantly hacked and idiots demanding you pay for  VIP status for them for them to give you YOUR account back. And I'm told it takes forever for customer service to get back to you while in the mean time someone is in your account spending your money and sending you bad messages teasing you via your back up acct. why is it so easy for this one game to be hacked?!!??  "")",1
250,"The current version I have has changed PvP to where I'm throwing coins away. Can't change ships but other's can and it helps their score. Developer says it doesn't but you can definitely see the score jump. In the next update this is supposed to be returned to where you can select top 3 ships, and wondering if some already have this ability. PvP was competitive and fun. Now it's literally just luck of the draw.  "")",3
253,"Love the game itself.  It's a fun and addicting game when you play it.  But if something happens to your game then Playrix is not helpful.  You can wait for months until someone contacts you.  That is if they even contact you and you actually get help.  I play Township on a Windows tablet and then my whole town disappeared.  Contacted tech support.  It's been over a month.  Not a word from Playrix Support.  This is why this app only got 1 star.  It deserves no stars but that isn't an option.  If I ever get my issue fixed maybe rating will get updated.  "")",1
255,"This game is a ripoff. Please do not give this app any money! I been playing for awhile and have spent a fare amount of money. There is no to little return. The more you spend the less enjoyment of winning Ang coins. Don't listen to there reply because they tell everyone the same thing and it's all B.S.. DON'T WASTE YOUR MONEY ON THIS APP!!  "")",1
258,"I think you guys have messed up your game in the past few updates. Seems like there is some memory leak or something. After a while the steering wheel lags so much. Only the input. Graphics don't lag at all. Please fix. Also would be great if you could add some button to start and stop a timer in free mode so we can set time challenges for ourselves. I like the game but it is unplayable after a few minutes after the recent updates  "")",2
260,"The thrill of the game I once loved is gone. Games just eats chips so you can purchase more and then eats them too! Games have low wins and keeps your play money low also. I only have it because of my BF Friends and I have money invested in it. BF don't seem to care that the luster is gone from a lot of their players or even care to bring it back!  ÄÅ¸Ëâ¢ÄÅ¸Ëâ¢ÄÅ¸Ëâ¢ÄÅ¸Ëâ¢ Still hoping for the best though!  "")",3
261,"Such a terrible money grab. Ads cinsta tly pop up, making a consistent method for progressing impossible (which was most likely the goal). Didn't have patience to get very far, I feel like I've wasted my time in the 5 minutes I played. Greedy devs forcing quality content behind a paywall making the game virtually unplayable for free. Terrible job.  "")",2
262,"It is a good time killer, but the adds are too heavy and a lot. I will definitely be deleting it once get fed up with the adds, unless you do something about.  ')",2
269,"Well I signed up. Deposited money went to play n it starts to flicker n shut off on me. I am not uninstalling until i get my money back. I went back to see if I could withdrawal n it tells me I have to play this much for bingo n this much for slots.. Holy smokes! I can't enjoy playing this at all. Due to flickering n shutting off in a middle of a spin. I guess I just donated or wasted my funds on this so called good game.  "")",2
271,"Getting greedy,  no low bid slots for when chips are low...  Went from being a fun way to pass the time to a money drain.  Your game is not worth $20 for 10 minutes of play.  Get over yourselves.  Apps should be consistent. You keep changing the game to maximize profit.  Look at your active user count.  You aren't doing right by your customers anymore.  "")",2
273,I moved to another device and lost all my Christmas cars I had and I have to do all the missions again I have all my other cars and areanas accept the Christmas achievements and new cars. Please fix this problem  '),1
275,"Ads ruined the game. Can't go through menus without a 30 second ad popping up which can't be closed. Everytime it happens the game gets closed for a few days never used to be so irritating. Devs stopped caring about the game and now just used as a cash cow  "")",1
276,Why you dont let me unlock night wing i got him i rate you 2 star for not leting me unlock night wing  '),2
